"Company","Review Summary","industry","size","tagline","description","mission","founded","headquarters","website","employee_count","benefits"
"ACCORD INNOVATIONS SDN. BHD.","Good learning opportunities for new technologies are a key advantage. However, low salary and limited benefits are common complaints. This trade-off often impacts overall employee satisfaction.","Information Technology & Services","Startup (<100)","Innovating for a Digital Future","A software development company focused on providing custom IT solutions and consultancy services to businesses in Malaysia.","To deliver high-quality, innovative software solutions that solve real-world business challenges for our clients.","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Annual Leave, Medical Claims"
"AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","Exposure to various clients and industries is appreciated. However, a high-pressure, results-driven environment is a significant drawback. This defines the fast-paced nature of recruitment work.","Human Resources","Startup (<100)","Connecting Talent to Opportunity","A recruitment and staffing agency that specializes in placing candidates in various roles across multiple industries in Malaysia.","To be the most reliable bridge between talented professionals and leading companies.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Sales Commission, Annual Leave"
"AGENSI PEKERJAAN LEWIS TALENT CONSULTING SDN. BHD.","A supportive team environment and training are highlighted as positives. However, the role is very demanding with high targets. This pressure is a core part of the recruitment consultant experience.","Human Resources","Startup (<100)","Your Strategic Talent Partner","A specialized recruitment agency focusing on executive search and professional staffing for niche industries.","To provide exceptional talent consulting services that drive success for both clients and candidates.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, High Commission Structure, Training"
"AIA IT (M) Sdn Bhd","The company's strong brand and stable work environment are valued. However, the technology stack can be outdated and processes bureaucratic. This can be a point of frustration for those seeking innovation.","Information Technology & Insurance","Large (500+)","Healthier, Longer, Better Lives","The technology division of AIA Malaysia, providing crucial IT infrastructure, support, and digital solutions for the insurance giant's operations.","To leverage technology to help people live healthier, longer, better lives.","N/A","Kuala Lumpur, Malaysia","https://www.aia.com.my/","501-1000","Health Insurance, Dental Coverage, Life Insurance, EPF, SOCSO, Flexible Working Hours, Optical Benefits"
"Accion Labs Sdn. Bhd.","The opportunity to work on diverse projects for US-based clients is a key benefit. However, poor management and a lack of transparency in processes are common concerns. These issues can lead to a frustrating work experience.","Information Technology & Services","Large (500+)","Driving Innovation Through Emerging Technologies","An innovation-focused technology services firm that works with both startups and enterprises on product engineering and digital transformation projects.","To help our clients innovate and build great products using emerging technologies.","2011","Pittsburgh, USA (Global HQ)","https://www.accionlabs.com/","1001-5000","Health Insurance, EPF, SOCSO, Annual Leave, On-site Opportunities"
"Agensi Pekerjaan Hays (Malaysia) Sdn Bhd","High earning potential and excellent training are major advantages. However, it is a very high-stress sales environment. This demanding culture is a defining characteristic of the job.","Human Resources","Mid-size (100-500)","Powering the World of Work","A leading global professional recruiting group, working with organizations to fill specialist roles and providing career-long partnerships to professionals.","To be the undisputed leader in specialist recruitment, valued by our clients and candidates for our expertise and professionalism.","1968","London, UK (Global HQ)","https://www.hays.com.my/","251-500 (Malaysia)","Health Insurance, Sales Commission, Global Opportunities, EPF, SOCSO, Training Programs"
"Agensi Pekerjaan PERSOLKELLY Malaysia Sdn Bhd","A strong brand and exposure to major clients are key positives. However, the workload is heavy and the pressure to meet targets is intense. This often impacts work-life balance significantly.","Human Resources","Large (500+)","Work, and Smile","One of the largest recruitment companies in Asia Pacific, offering a comprehensive range of workforce solutions from temporary staffing to executive search.","To contribute to society by creating a world where individuals can work and smile.","2016 (Merger)","Singapore (APAC HQ)","https://www.persolkelly.com.my/","501-1000","Health Insurance, EPF, SOCSO, Regional Exposure, Commission Scheme"
"Agensi Pekerjaan Randstad Sdn Bhd - Professional","Working with a globally recognized brand is a major pro. However, the environment is highly competitive and stressful. The pressure to perform is a constant factor in the daily work.","Human Resources","Large (500+)","Human Forward.","A global leader in the HR services industry, supporting people and organizations in realizing their true potential by combining technology with a human touch.","To support people and organizations in realizing their true potential.","1960","Diemen, Netherlands (Global HQ)","https://www.randstad.com.my/","501-1000 (Malaysia)","Health Insurance, Flexible Benefits, Wellness Programs, Global Mobility, EPF, SOCSO"
"AirAsia","The fun, dynamic work environment and travel perks are seen as major advantages. However, long hours and a demanding schedule are common concerns for cabin crew. These issues often impact the overall work-life balance.","Aviation & Airlines","Large (500+)","Now Everyone Can Fly","A leading low-cost airline in Asia, providing affordable air travel to over 150 destinations across the continent.","To be the largest low-cost airline in Asia and serve the 3 billion people who are currently underserved with poor connectivity and high fares.","1993","Sepang, Malaysia","https://www.airasia.com/","10000+","Flight Benefits, Travel Discounts, Health Insurance, EPF, SOCSO, Diverse Culture"
"Ambition Group Malaysia Sdn Bhd","A vibrant culture and the potential for high commission are appreciated. However, the work is extremely high-pressure and target-driven. This makes it a challenging environment to succeed in.","Human Resources","Startup (<100)","Building Better Futures","A global boutique recruitment firm specializing in a number of professional disciplines.","To build better futures for our candidates, clients and our own people.","1999","Sydney, Australia (Global HQ)","https://www.ambition.com.my/","11-50","Health Insurance, High Commission, EPF, SOCSO, Regular Training"
